,n_neighbors,score
0,1,13.3863098150686
1,2,6.540228304883848
2,3,3.8424035393234917
3,4,2.643147328065717
4,5,1.6557543492660545
5,6,1.1231448299378883
6,7,0.9888280956435965
7,8,0.8590888428117488
8,9,0.810500086655617
9,10,0.7120547769708502
10,11,0.6658012454527454
11,12,0.6676684741938278
12,13,0.6670547741841096
13,14,0.6621820163151135
14,15,0.6639547349057823
15,16,0.6611358877297403
16,17,0.6600857365831377
17,18,0.6590352516522484
18,19,0.6578293762894991
19,20,0.6560177965229653
20,21,0.6116950859648086
21,22,0.6118272362568872
22,23,0.6137515277804949
23,24,0.615709853291991
