,C,score
0,0.39606060606060606,0.2676077116993775
1,0.09909090909090908,0.26740680712195214
2,0.40595959595959596,0.26744929069864826
3,0.06939393939393938,0.26745779736580233
4,0.37626262626262624,0.26748129856372005
5,0.98010101010101,0.26750147862031953
6,0.32676767676767676,0.2674631023041149
7,0.5346464646464646,0.2674941153032421
8,0.495050505050505,0.26753360008670285
9,0.1386868686868687,0.26741816784610767
10,0.7623232323232323,0.2675523825344695
11,0.495050505050505,0.26752804355475374
12,0.9603030303030302,0.26733402682034607
13,0.6633333333333333,0.26755564424961437
14,0.039696969696969696,0.2673171157345631
